method,target_tokens,k,hit_rate,avg_first_hit_rank,avg_query_latency_ms,num_chunks,chunk_build_time_s,index_build_time_s,avg_chunk_tokens,p95_chunk_tokens
recursive,10000,3,0.6,1.3333333333333333,0.0907580057779948,26,0.1241741180419921,1.1467669010162354,6813.384615384615,9899.0
recursive,10000,5,0.8,2.1666666666666665,0.0917752583821614,26,0.1241741180419921,1.1467669010162354,6813.384615384615,9899.0
recursive,10000,7,0.8666666666666667,2.5384615384615383,0.0836690266927083,26,0.1241741180419921,1.1467669010162354,6813.384615384615,9899.0
recursive,10000,9,0.9333333333333332,2.9285714285714284,0.0918229420979817,26,0.1241741180419921,1.1467669010162354,6813.384615384615,9899.0
semantic,10000,3,0.8666666666666667,1.5384615384615383,0.0781218210856119,61,60.69774293899536,2.319075584411621,2904.3278688524592,3486.0
semantic,10000,5,0.9333333333333332,1.7857142857142858,0.0908215840657552,61,60.69774293899536,2.319075584411621,2904.3278688524592,3486.0
semantic,10000,7,0.9333333333333332,1.7857142857142858,0.0713666280110677,61,60.69774293899536,2.319075584411621,2904.3278688524592,3486.0
semantic,10000,9,0.9333333333333332,1.7857142857142858,0.0771840413411458,61,60.69774293899536,2.319075584411621,2904.3278688524592,3486.0
sentence_pack,10000,3,0.7333333333333333,1.4545454545454546,0.0836531321207682,26,0.2359507083892822,1.193610906600952,6813.576923076923,9900.25
sentence_pack,10000,5,0.8,1.6666666666666667,0.0754674275716145,26,0.2359507083892822,1.193610906600952,6813.576923076923,9900.25
sentence_pack,10000,7,0.8666666666666667,2.0,0.0764687856038411,26,0.2359507083892822,1.193610906600952,6813.576923076923,9900.25
sentence_pack,10000,9,0.9333333333333332,2.5,0.0898996988932291,26,0.2359507083892822,1.193610906600952,6813.576923076923,9900.25
